1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	189552.435603	0.000000	0.000077	5537.161422	53.5
1	175175.015532	0.000000	0.000077	4914.630358	1.3
2	176626.648619	0.000000	0.000077	4814.433772	0.6
3	199247.249471	0.000000	0.000077	5748.388287	1.5
4	182102.904867	0.000000	0.000077	5574.272206	2.1
5	198548.159046	0.000000	0.000077	5580.454231	1.3
6	173847.034251	0.000000	0.000077	4881.801653	1.2
7	162964.296394	0.000000	0.000077	4601.451019	1.0
8	172663.300166	0.000000	0.000077	5378.924835	1.2
9	183320.478728	0.000000	0.000077	4997.427583	2.4
10	162356.310397	0.000000	0.000077	5067.767934	2.8
11	157796.930592	0.000000	0.000077	3971.330606	0.7
12	168838.363544	0.000000	0.000077	5791.175600	0.6
13	172129.301657	0.000000	0.000077	6121.208153	0.6
14	142687.692911	0.000000	0.000077	4792.158241	0.6
15	164594.576875	0.000000	0.000077	5275.833890	0.6
16	159538.568251	0.000000	0.000077	5803.474633	0.6
17	152223.925201	0.000000	0.000077	4974.317511	0.6
18	163013.219327	0.000000	0.000077	5559.773400	0.6
19	168757.536190	0.000000	0.000077	5167.792627	0.5
20	156014.897993	0.000000	0.000077	5628.657230	0.6
21	143676.946856	0.000000	0.000077	5356.987251	0.5
22	136793.577897	0.000000	0.000077	4621.232873	0.5
23	153883.894074	0.000000	0.000077	5261.355375	0.6
24	142304.798709	0.000000	0.000077	5015.314633	0.6
25	142987.991317	0.000000	0.000077	5900.009951	0.6
26	135520.692184	0.000000	0.000077	4373.466234	0.6
27	150428.962022	0.000000	0.000077	5104.109655	0.6
28	128152.971780	0.000000	0.000077	3881.926228	0.5
29	143062.150347	0.000000	0.000077	4107.376090	0.5
30	139828.723626	0.000000	0.000077	4512.104709	0.6
31	135131.802658	0.000000	0.000077	5797.951213	0.6
32	128502.836194	0.000000	0.000077	4522.122274	0.8
33	134077.250884	0.000000	0.000077	5131.872799	1.0
34	126090.994363	0.000000	0.000077	4931.484403	0.5
35	115020.541344	0.000000	0.000077	4014.148549	1.3
36	119817.621834	0.000000	0.000077	3805.021521	0.9
37	128784.861033	0.000000	0.000077	4936.847196	3.1
38	121863.170019	0.000000	0.000077	4532.729347	0.8
39	128017.406236	0.000000	0.000077	4288.525837	0.6
40	110924.932749	0.000000	0.000077	4524.359713	0.6
