1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
207	91414.145523	10.335306	0.000064	674.019033	2.8
208	91635.205603	9.583483	0.000065	1520.757778	2.9
209	95630.172900	10.580693	0.000063	735.612358	2.7
210	89247.031499	9.658324	0.000065	1328.422120	3.3
211	89057.968546	10.658323	0.000063	944.161346	3.0
212	95350.973166	9.735953	0.000065	829.744597	2.7
213	91737.399778	10.734974	0.000063	1438.257362	3.1
214	90643.587134	10.151543	0.000064	1219.114384	3.0
215	93558.818021	11.146618	0.000062	1723.969842	2.5
216	93167.648071	10.254469	0.000064	1319.482596	2.3
217	92424.515779	9.332098	0.000066	1617.798764	2.7
218	94377.501885	10.332098	0.000064	1103.179983	2.5
219	93878.346278	9.409727	0.000065	820.019180	2.8
220	89283.996650	10.407294	0.000063	1156.528901	2.9
221	95601.400929	11.407293	0.000061	1059.236538	2.5
222	95495.539159	10.487121	0.000063	755.388814	2.4
223	89786.111154	11.478972	0.000061	1064.703410	2.7
224	90853.327107	12.006100	0.000060	1272.815358	2.4
225	91693.675453	13.006100	0.000059	848.987721	2.9
226	94313.850314	12.084145	0.000060	1702.093174	3.0
227	91261.930430	13.080489	0.000058	2118.182940	2.4
228	94332.661915	12.172738	0.000060	573.581096	2.7
229	92800.427401	11.252632	0.000062	788.572950	2.4
230	94014.630722	10.757466	0.000063	1200.237508	2.3
231	89493.455015	11.757420	0.000061	1031.666875	2.4
232	99606.441717	10.835057	0.000063	1710.239062	3.1
233	92492.220842	11.824851	0.000061	608.983051	2.9
234	89188.162136	12.811859	0.000059	1276.375120	3.2
235	91590.922251	11.954284	0.000060	724.864256	2.4
236	92760.053217	12.954269	0.000059	1781.572500	3.9
237	89800.268514	12.031899	0.000060	334.488027	2.5
238	88323.777556	11.118955	0.000062	1073.553358	2.5
239	92220.511267	11.817374	0.000061	1123.218961	2.4
240	100145.963087	10.900467	0.000062	1281.800805	2.7
241	97420.504085	11.898444	0.000061	491.583984	2.4
242	91904.340915	12.457612	0.000060	1177.613688	2.3
243	94903.450052	13.450381	0.000058	1029.189663	3.3
244	90352.519477	14.346731	0.000056	561.458906	4.7
245	91631.734565	15.237988	0.000055	2060.796465	3.1
246	99579.090779	16.237988	0.000053	1163.840156	4.8
247	86924.832519	17.237988	0.000052	717.540624	3.2
248	93076.510774	16.856686	0.000053	1692.444530	3.0
249	95623.492151	16.011782	0.000054	1368.322319	2.7
250	88515.368340	17.011620	0.000052	924.573036	2.8
251	93322.189306	18.011598	0.000051	1295.529469	2.9
252	99556.004196	19.010319	0.000050	427.506904	2.8
253	93387.081487	19.383441	0.000049	987.118258	2.8
254	93112.420994	19.826349	0.000049	934.875898	2.8
255	93138.476459	19.421591	0.000049	1006.659297	2.5
