1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	143669.566010	0.000000	0.000074	673.962406	54.5
1	130438.024478	0.000000	0.000074	1328.062335	1.8
2	137205.038476	0.000000	0.000074	1084.639615	1.5
3	136860.254651	0.999783	0.000070	600.299970	1.4
4	132967.981303	0.048347	0.000073	1636.092667	1.4
5	129387.660049	1.048329	0.000070	738.161810	1.3
6	133072.911227	2.048329	0.000067	1598.709174	1.4
7	133712.367945	3.048328	0.000064	1103.067077	2.5
8	140896.985752	4.035605	0.000062	1865.273613	3.5
9	134562.043186	3.084044	0.000064	932.134177	1.8
10	136886.603702	2.132482	0.000067	1664.223964	1.4
11	129686.147380	3.132464	0.000064	1392.605002	1.4
12	132714.521010	2.180902	0.000067	1386.275487	1.4
13	125474.624606	1.274844	0.000069	1163.228547	1.4
14	130969.787973	2.274843	0.000066	793.545562	1.6
15	142933.200690	1.324449	0.000069	684.155505	3.4
16	131901.788394	0.373771	0.000072	1096.276227	2.7
17	132658.285919	0.000000	0.000074	1144.816619	1.6
18	136052.116931	0.000000	0.000074	991.089446	1.4
19	127105.194659	0.000000	0.000074	1276.090591	1.5
20	132210.527131	1.000000	0.000070	1300.997332	1.7
21	138682.930913	0.083259	0.000073	1072.128242	1.4
22	128983.010453	0.000000	0.000074	1099.229145	1.6
23	135910.703866	1.000000	0.000070	962.233905	1.5
24	136248.609449	1.999999	0.000067	977.272315	1.7
25	129294.029126	1.048855	0.000070	1505.339356	1.4
26	130701.367821	2.043303	0.000067	645.160585	1.6
27	133482.660779	3.043278	0.000064	856.294767	1.4
28	131057.384515	4.006970	0.000062	1054.123682	1.4
29	134264.814140	3.055410	0.000064	1233.574987	1.7
30	132886.654683	2.103850	0.000067	1413.961000	1.5
31	137592.431893	1.167510	0.000070	1098.761550	1.5
32	131183.431971	0.280499	0.000073	1345.723226	1.4
33	128749.168002	1.279222	0.000069	1069.016411	2.5
34	130862.946268	2.279222	0.000066	1661.723880	1.7
35	134022.330515	2.901549	0.000065	1461.992482	1.7
36	137847.172808	3.901548	0.000062	930.860474	1.7
37	132380.488225	2.950409	0.000064	1322.953478	1.4
38	134305.030848	3.950409	0.000062	1003.240259	1.6
39	138045.093405	2.998847	0.000064	1691.123426	1.4
40	132126.699466	2.047286	0.000067	999.903715	1.6
41	139534.495907	3.047283	0.000064	1487.773803	1.6
42	135340.854715	4.047283	0.000062	1011.432904	1.7
43	136623.629581	3.355115	0.000063	780.553494	1.4
44	136661.596254	2.403563	0.000066	1589.451273	1.6
45	125866.028741	1.452002	0.000069	819.647136	1.6
46	135522.049678	0.500441	0.000072	1576.758259	1.4
47	135983.960102	0.000000	0.000074	1269.382919	1.4
48	131655.811048	1.000000	0.000070	1542.144767	1.6
49	125225.504214	2.000000	0.000067	1221.752999	1.6
50	140381.850375	1.051573	0.000070	1149.163183	2.3
51	140005.511558	2.049454	0.000067	959.922289	1.7
52	133723.163224	1.097894	0.000070	619.445513	3.8
53	134802.209905	1.028801	0.000070	544.482349	3.2
54	132130.305296	1.955091	0.000067	1549.606135	1.8
55	127152.905462	1.003530	0.000070	930.224444	2.0
56	135155.550095	2.003530	0.000067	621.560478	2.0
57	140274.195745	2.995884	0.000064	876.172419	1.4
58	136141.833798	2.310169	0.000066	1197.767090	1.4
59	140005.430012	1.361288	0.000069	1043.059515	1.6
60	140234.253384	0.781553	0.000071	1517.925805	1.6
61	140675.961131	0.000000	0.000074	2086.129063	1.8
62	138587.253086	1.000000	0.000070	1907.915164	1.5
63	133582.199893	2.000000	0.000067	677.628578	1.7
64	132383.584575	1.048439	0.000070	1704.472747	1.4
65	138923.673976	0.097007	0.000073	537.792691	1.4
66	129927.322529	0.000000	0.000074	592.216483	1.4
67	126512.375735	0.000000	0.000074	1338.681514	2.3
68	138132.990438	0.392241	0.000072	690.231872	3.0
69	138544.832648	0.000000	0.000074	1038.550073	1.8
70	143031.009753	0.999980	0.000070	1110.154656	1.7
71	126342.122207	0.057752	0.000073	930.564660	1.7
72	136205.516837	0.000000	0.000074	878.674505	1.6
73	135558.135852	0.000000	0.000074	1110.289533	1.7
74	127647.223475	0.881482	0.000071	880.062526	1.7
75	140345.603253	1.876865	0.000067	690.439686	1.7
76	135324.412558	0.934642	0.000070	1249.619672	1.7
77	139885.671891	1.934610	0.000067	1438.451918	1.7
78	137079.689029	0.983049	0.000070	1448.586896	1.9
79	135002.973131	0.034074	0.000073	1544.184731	1.8
80	135067.140508	0.000000	0.000074	1508.511706	1.7
81	135153.901945	1.000000	0.000070	656.277012	1.7
82	135933.796434	1.350175	0.000069	1325.688921	1.7
83	132043.218346	0.398743	0.000072	627.755505	2.1
84	141769.152945	0.000000	0.000074	1927.250083	2.2
85	133792.127972	0.909346	0.000070	623.119343	1.8
86	131387.774642	0.000000	0.000074	1524.631012	1.7
87	126685.304330	0.999211	0.000070	976.556117	1.7
88	135318.744788	1.999207	0.000067	1780.032808	1.8
89	132755.120582	2.997941	0.000064	1346.440947	1.7
90	139611.058100	2.046404	0.000067	1263.022149	1.6
91	144498.605839	3.046404	0.000064	1118.943646	1.7
92	133371.167841	2.094842	0.000067	657.043022	1.7
93	137529.537519	1.235781	0.000069	742.865643	1.7
94	139819.045400	1.868299	0.000068	610.822403	1.6
95	136205.358631	1.065643	0.000070	1605.853241	1.6
96	137268.073251	0.116748	0.000073	856.795350	1.7
97	131180.989700	1.116612	0.000070	1815.748631	1.6
98	133794.142653	2.116576	0.000067	1518.569907	1.7
99	136795.658382	3.116576	0.000064	1611.123794	1.7
100	131472.974989	4.116574	0.000061	449.268227	2.1
101	137714.778074	5.110485	0.000059	492.034433	2.8
102	134921.828565	4.183874	0.000061	1289.480854	1.8
103	133596.578400	3.589576	0.000063	628.988013	1.8
104	134105.567056	2.651899	0.000065	1132.148461	1.8
105	131775.542808	3.650508	0.000063	216.203725	1.7
106	147113.267314	4.588622	0.000060	624.974720	1.8
107	142441.392713	4.771560	0.000060	1097.675409	1.7
108	130230.458587	5.597382	0.000058	988.448329	1.7
109	137731.570459	6.597382	0.000056	1220.844134	1.7
110	134632.711169	7.597381	0.000054	970.062988	1.7
111	128075.326193	6.645819	0.000056	1168.602766	1.6
112	144385.950760	7.532462	0.000054	1091.134904	1.4
