1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	111791.381722	0.000000	0.000036	1391.920549	52.5
1	117396.094202	0.000000	0.000036	779.059154	0.8
2	117642.889864	0.972574	0.000034	2174.046576	0.6
3	107305.537654	1.972536	0.000033	960.055529	0.5
4	116399.861062	1.206058	0.000034	1081.494094	0.6
5	103437.150205	0.442117	0.000035	954.820682	0.5
6	100289.429070	1.371570	0.000033	1963.738524	0.5
7	123941.654272	2.289393	0.000032	1012.058742	0.5
8	100631.270178	3.258192	0.000031	1157.689728	0.6
9	109758.854596	2.397936	0.000032	1098.965981	0.5
10	118918.424863	1.680377	0.000033	960.225676	0.5
11	106299.552524	0.823402	0.000034	2348.997375	0.5
12	104331.611873	1.720753	0.000033	1605.631024	0.6
13	124276.668544	2.720753	0.000032	1234.245699	0.6
14	113752.920519	1.963046	0.000033	1522.568722	0.5
15	111782.793525	1.036940	0.000034	1375.981621	0.7
16	116098.000363	1.014700	0.000034	1438.864595	3.4
17	116925.402472	0.048056	0.000036	1462.246883	1.5
18	120748.234435	0.000000	0.000036	451.328890	1.3
19	108925.428309	0.000000	0.000036	1221.286042	0.6
20	129888.662835	0.000000	0.000036	1355.872012	0.7
21	114083.158419	0.000000	0.000036	1023.821514	0.6
22	107553.397443	0.883488	0.000034	900.903041	0.6
23	121868.140789	1.693103	0.000033	1048.378789	0.5
24	108591.492336	0.735907	0.000034	1796.917621	0.5
25	114372.756475	1.735903	0.000033	1096.363199	0.5
26	114021.723516	0.769252	0.000034	1304.112472	0.6
27	106252.115434	0.158106	0.000035	1813.736671	0.5
28	105860.802947	0.000000	0.000036	2069.680404	0.5
29	120714.611937	0.000000	0.000036	1208.896903	0.6
30	109031.724725	0.999002	0.000034	1096.521953	0.6
31	121844.123982	1.690373	0.000033	1116.875789	0.5
32	111568.958504	0.725264	0.000034	674.122004	0.5
33	114313.116838	0.000000	0.000036	1281.910111	0.6
34	115367.843342	0.000000	0.000036	1871.645396	0.6
35	105806.738946	1.000000	0.000034	1122.730301	3.2
36	113108.410283	1.999992	0.000032	2714.092038	1.4
37	115325.441664	1.045434	0.000034	2184.005654	0.6
38	106597.182638	0.402273	0.000035	1740.995453	0.7
39	110354.889237	1.402272	0.000033	1718.895175	0.6
40	126047.706989	2.402256	0.000032	1461.886013	3.7
41	117205.753898	3.378268	0.000031	1014.763511	0.8
42	108038.069157	4.370381	0.000029	783.571538	0.7
43	111761.151977	3.722854	0.000030	990.092440	0.8
44	111657.602135	4.351441	0.000029	1691.851887	0.7
45	118380.824258	5.350368	0.000028	1481.610843	0.6
46	99301.670238	6.350342	0.000027	1775.944604	0.6
47	101993.524482	5.385250	0.000028	1283.159713	0.5
48	102819.784654	6.176639	0.000028	1952.400054	0.6
49	102091.369370	5.721809	0.000028	720.201124	1.1
50	102530.897645	6.705299	0.000027	1423.290063	0.6
51	103763.506735	5.848284	0.000028	1791.830092	0.8
52	117854.947379	6.848222	0.000027	1856.339652	0.7
53	113820.215707	7.847831	0.000026	1354.317371	0.6
54	111109.209792	6.881135	0.000027	1263.044964	0.5
55	119790.458959	5.915692	0.000028	1473.520607	0.5
56	107371.088546	6.893892	0.000027	1411.163915	0.5
57	100476.566211	5.927881	0.000028	1361.989087	0.5
58	111530.530068	6.926760	0.000027	1112.309035	0.7
59	107005.932876	6.297454	0.000027	878.276920	0.6
60	100532.347209	7.121262	0.000027	1248.619508	0.6
61	116285.865177	6.408899	0.000027	1868.736167	0.6
62	114761.999889	7.408899	0.000026	1104.468065	0.6
63	107843.319772	6.497536	0.000027	1184.225579	0.6
64	113776.521698	7.364437	0.000026	1429.460863	0.6
65	103371.364804	6.758031	0.000027	1007.675465	0.6
66	129655.330286	7.757675	0.000026	1089.454228	0.6
67	130721.156991	6.914304	0.000027	2509.211863	0.6
68	106824.060827	6.520573	0.000027	1121.969820	0.8
69	103927.525758	7.520572	0.000026	857.250053	1.3
70	109223.696873	6.650258	0.000027	654.547307	2.7
71	143729.730121	6.442826	0.000027	1061.085099	0.7
72	107723.496175	6.671586	0.000027	1205.686129	0.7
73	102263.854102	5.713537	0.000028	2096.439543	0.6
74	95791.581577	6.713532	0.000027	1158.048128	0.6
75	107071.235245	7.678149	0.000026	929.902021	0.5
76	117405.221460	8.577465	0.000025	834.998372	0.5
77	113677.916021	8.385322	0.000025	1443.238861	0.5
78	127920.070733	7.428607	0.000026	474.556000	0.6
79	119503.530031	6.911532	0.000027	1804.892900	0.6
80	121327.036996	5.956932	0.000028	1198.885993	0.6
81	116060.808777	6.950465	0.000027	1018.420369	0.5
82	131801.173616	6.435170	0.000027	1608.797284	0.5
83	119228.465319	7.429368	0.000026	936.767705	0.5
84	106874.080487	6.698019	0.000027	1092.866109	0.6
85	100857.536787	7.025297	0.000027	1939.037131	0.5
86	126766.882435	8.024128	0.000026	1769.460813	0.5
87	103184.961504	9.024128	0.000025	1172.522310	0.5
88	115935.447293	8.057422	0.000026	1988.943341	0.5
89	102721.543864	7.090700	0.000027	986.814955	0.5
90	108904.297733	8.089231	0.000026	1162.989521	0.6
91	121183.966674	7.131999	0.000027	676.112059	0.6
92	106078.842320	6.604542	0.000027	1529.989998	0.6
93	113446.682719	5.859601	0.000028	1036.059652	0.5
94	110405.312566	4.893050	0.000029	824.918276	0.5
95	123803.036507	5.366355	0.000028	3402.131127	0.6
96	119274.327747	4.399801	0.000029	1696.466279	0.6
97	126479.846058	5.399796	0.000028	1130.345489	0.7
98	109115.351493	4.433070	0.000029	1111.378709	0.6
99	135174.759034	3.467309	0.000031	1563.172784	0.6
